task_id,query,query_type,researcher_name,researcher_department,researcher_position,researcher_summary,source,system_rank,relevance_score,notes
14,polymer electrolyte membranes for fuel cells,specific,Jillian Goldfarb,Chemical and Biomolecular Engineering,Associate ProfessorDuffield Engineering Dean’s FellowDirector of Undergraduate Studies for Archeology,"Research Interests
Energy and the Environment
Combustion
Energy Systems
Sustainable Energy Systems
Energy, Mineral, and Water Resources
Environmental Processes
Heat and Mass Transfer
Materials Design
Polymers and Soft Matter
Colloids and Interfacial Science
COVID-19 Related Research
Engineering",system_result,2,,
15,polymer electrolyte membranes for fuel cells,specific,Julia Dshemuchadse,Materials Science and Engineering,Assistant Professor,"Research Interests
Advanced Materials
Colloids and Interfacial Science
Polymers and Soft Matter
Materials Design",system_result,3,,
16,polymer electrolyte membranes for fuel cells,specific,Henrique Reis Moura,Chemical and Biomolecular Engineering,PhD Student,PhD student in Chemical and Biomolecular Engineering.,random,,,
17,atomic layer deposition of oxide thin films,specific,Darrell Schlom,Materials Science and Engineering,Tisch University Professor,"Research Interests
The focus of my group’s research is investigating and perfecting the properties of oxide materials for electronic uses. To do this, we grow oxide thin films on single crystal substrates of closely related substances. The single crystal substrate provides a structural template for the thin films that we grow. The films follow this atomic template and are thus said to be epitaxial (inheriting their crystalline arrangement from the underlying substrate). Our focus on oxides is du",system_result,1,,
18,atomic layer deposition of oxide thin films,specific,Dieter Ast,Materials Science and Engineering,Emeritus,"Research Interests
Thin Film Electronics, Flat Panel Displays, Glass Substrates for Flat Panel Displays.",system_result,2,,
19,atomic layer deposition of oxide thin films,specific,Joel Donald Brock,Materials Science and Engineering,Director of Master of Science and Master of Engineering ProgramsGiven Foundation Professor of Engineering Director of CHESS,"Research Interests
For over 100 years, our fundamental understanding of the structure of materials on atomic length scales has been advanced by direct structural measurements using x-rays. Modern synchrotrons provide over 8 orders of magnitude higher fluxes than laboratory based sources. This flux enables us to utilize higher resolution: higher angular resolution for diffraction, higher energy resolution for spectroscopies, higher time resolution for dynamics, and higher spatial resolution for i",system_result,3,,
20,atomic layer deposition of oxide thin films,specific,Jennifer Gabriel,Materials Science and Engineering,Major Gift Officer,"View all 			Staff 		
Jennifer Gabriel
Major Gift Officer
LocationCarpenter Hall, Room 253 
Emailjgabriel@cornell.edu",random,,,
21,nanomaterials for energy storage,broad,Vibha Kalra,Chemical and Biomolecular Engineering,Fred H. Rhodes Professor of Chemical EngineeringKathy Dwyer Marble and Curt Marble Faculty Director at the Cornell Atkinson Center for Sustainability,"Research Interests
In our group, we combine fundamental discoveries in material assembly, morphology and chemistry with electrochemistry and in-operando spectroscopy to develop efficient energy storage devices, particularly next generation batteries such as Li/Na/K-S, solid-state batteries, and anode-less battery designs. Our specific areas of interest include:
Design of novel electrode materials and electrolyte additives to enhance the physical and chemical phenomena relevant for batteries.
In-",system_result,1,,
22,nanomaterials for energy storage,broad,Jin Suntivich,Materials Science and Engineering,Associate Professor,"Research Interests
Our core interest is in materials sustainability. Current efforts include materials for energy storage and conversion technologies, mitigation strategies for materials corrosions in harsh environments, in-situ tools for probing interface dynamics, and novel methods for separation applications.
Advanced Materials
Energy Systems
Energy and the Environment
Surface Science
Sensors and Actuators
Nanotechnology",system_result,2,,
23,nanomaterials for energy storage,broad,Tobias Hanrath,Materials Science and Engineering,Croll Professor in Engineering,"Research Interests
There is a tremendous opportunity space for nanostructured materials to play a key role in next generation energy technologies. Our research efforts focus on the fundamental study of optoelectronic properties of semiconductor nanocrystals; this work is inspired by the potential application of these materials in solar energy conversion and energy storage devices. The semiconductor nanocrystals used in our work provide a diverse set of building blocks whose electronic and optica",system_result,3,,
24,nanomaterials for energy storage,broad,Gozde Aktas Eken,Materials Science and Engineering,Research Associate,"View all 			Advisor 		
Gozde Aktas Eken
Research Associate
Department of Materials Science and Engineering
LocationBard Hall, Room 360
Phone607-280-8225
Emailga352@cornell.edu
Biography
Gozde Aktas Eken is a research associate at Cornell Materials Science and Engineering. With a background in polymer chemistry and bioengineering, her research focuses on developing adaptive materials and interfaces through the fusion of macromolecular engineering and lithography techniques. After receiving her Ph",random,,,
25,computational modeling of materials,broad,James Weaver,Materials Science and Engineering,Associate Professor,"Research Interests
Weaver’s research primarily focuses on the following three areas:
Multi-scale image and materials characterization
Advanced manufacturing and 3D data visualization
Biologically inspired materials, architecture, and design",system_result,1,,
26,computational modeling of materials,broad,Meredith Silberstein,Materials Science and Engineering,Professor,"Research Interests
Meredith Silberstein’s Mechanics for Materials Design (MMD) Lab is devoted to using mechanical experiments and modeling methods in material design, with particular focus on multifunctional, active, and polymeric materials.
Computational Solid Mechanics
Materials Design
Micro Nano Systems
Solid Mechanics
Advanced Manufacturing and Materials",system_result,2,,
27,computational modeling of materials,broad,Dzenana Javor,Materials Science and Engineering,Lead Finance,"View all 			Staff 		
Dzenana Javor
Lead Finance
LocationBard Hall, Room 210D
Phone607-255-9160
Emaildj237@cornell.edu",system_result,3,,
28,computational modeling of materials,broad,Qiuming Yu,Materials Science and Engineering,ProfessorDirector of Graduate Studies,"Research Interests
Professor Yu’s research focuses on the fundamental studies of plasmonic and semiconductor materials and the development of devices for biosensing and optoelectronic applications with an integrated computational and experimental approach. For biosensing, her research group is primarily using optical signals, specifically, surface plasmon resonance and surface-enhanced Raman scattering, as the transducing mechanism. They have designed plasmonic nanostructures and developed surfa",random,,,
29,biomedical imaging techniques,broad,Marco Farina,Materials Science and Engineering,Mary J. Upson Visiting Professor,"Research Interests
Electromagnetic modeling
Design of passive and active microwave components/structures
Scanning probe microscopy, in particular Near-Field Scanning Microwave Microscopy (SMM)
Nanotechnology
Measurement and calibration techniques
Biomedical imaging and sensors
Advanced materials",system_result,1,,
30,biomedical imaging techniques,broad,Warren R. Zipfel,Chemical and Biomolecular Engineering,Associate Professor,"Research Interests
Biomedical Imaging and Instrumentation
Bioengineering
Nanobio Applications
Biomedical Engineering
Image Analysis
Biophysics",system_result,2,,
31,biomedical imaging techniques,broad,James C. Hwang,Materials Science and Engineering,Research Professor,"Research Interests
Electronic, optical, and micro-electromechanical devices and circuits.
Advanced Materials
Advanced Materials Processing
Materials Synthesis and Processing
Semiconductor Physics and Devices
Nanotechnology
Biomedical Imaging and Instrumentation
Sensors and Actuators",system_result,3,,
32,biomedical imaging techniques,broad,C. Thomas Avedisian,Materials Science and Engineering,Professor,"Research Interests
We are pursuing research that cuts across a variety of disciplines, including heat transfer and combustion. Problems are pursued from an experimental (as contrasted with a purely computational or theoretical) approach. Current projects include studies of droplet combustion, film boiling to promote thermal decomposition or organic liquids, and phase change processes of highly superheated liquids.
Heat and Mass transfer
Multiphase and Granular Flows
Energy Systems
Energy and the",random,,,
33,sustainable chemical processes,broad,Alfred Center,Chemical and Biomolecular Engineering,Professor of PracticeEmeritus,"Research Interests
Sustainable Energy Systems",system_result,1,,
34,sustainable chemical processes,broad,A. Brad Anton,Chemical and Biomolecular Engineering,Associate Professor Emeritus,"Research Interests
Professor Anton’s research investigates the mechanisms, kinetics, and thermodynamics of chemical reactions in fluids and at interfaces between fluid and solid phases.
Sustainable Energy Systems",system_result,2,,
35,sustainable chemical processes,broad,Fengqi You,Chemical and Biomolecular Engineering,"Roxanne E. and Michael J. Zak Professor in Energy Systems EngineeringChair of Ph.D. Studies, Systems Engineering","Research Interests
You’s is an interdisciplinary systems engineering and artificial intelligence research group that focuses on the development of advanced computational models, optimization algorithms, statistical machine learning methods, and multi-scale systems analysis tools for smart manufacturing, digital agriculture, data analytics, energy systems, and sustainability. We seek to provide a balance between theory, computation and real-world applications through our synergistic research that",system_result,3,,
36,sustainable chemical processes,broad,Austin Jerad Reese,Chemical and Biomolecular Engineering,PhD Student,PhD student in Chemical and Biomolecular Engineering. Member of Hanrath Group. Advised by Tobias Hanrath.,random,,,
37,quantum information science,broad,Gregory David Fuchs,Materials Science and Engineering,James R. Meehl Professor,"Research Interests
The Fuchs Group focuses on quantum informa­tion science and spintronics. We study and manipulate spin and optical degrees of freedom in solid-state materials. Although we are primarily a condensed matter physics research group, we draw inspiration from many fields including atomic physics, materials science, and electrical engineering.
We are interested in hybrid quantum systems, in which disparate degrees of freedom interact coherently. Such systems can form the basis of futu",system_result,1,,
38,quantum information science,broad,Matt Ferguson,Materials Science and Engineering,Assistant Professor,"Research Interests
Research in our group revolves around developing new approaches for identifying and controlling the electronic properties of quantum materials. These materials exhibit behavior which is unavailable in the semiconductors, metals and insulators which make up the majority of our information processing devices. Quantum materials have the potential to enable both new energy-efficient devices as well as unlock fundamentally new approaches to information processing. Much of this pote",system_result,2,,
39,quantum information science,broad,Kaeli Ficco,Chemical and Biomolecular Engineering,PhD Student,PhD student in Chemical and Biomolecular Engineering. Member of Brito Lab. Advised by Ilana Lauren Brito.,system_result,3,,
40,quantum information science,broad,James Weaver,Materials Science and Engineering,Associate Professor,"Research Interests
Weaver’s research primarily focuses on the following three areas:
Multi-scale image and materials characterization
Advanced manufacturing and 3D data visualization
Biologically inspired materials, architecture, and design",random,,,
41,developing better batteries for electric vehicles,application,R. B. van Dover,Materials Science and Engineering,"Walter S. Carpenter, Jr. Professor of Engineering","Research Interests
UHF properties of magnetic thin films: Synthesis and characterization of novel optical materials (nonlinear materials, thin film gain media, etc.) * Characterization of nanometer-scale materials: superconductors, dielectrics, and magnetic materials * Electronic phase diagrams determined by induced surface charges rather than chemical doping * Composition-spread approach to parallelized synthesis/characterization of materials, including novel catalysts for direct-methanol fuel ",system_result,1,,
42,developing better batteries for electric vehicles,application,Vibha Kalra,Chemical and Biomolecular Engineering,Fred H. Rhodes Professor of Chemical EngineeringKathy Dwyer Marble and Curt Marble Faculty Director at the Cornell Atkinson Center for Sustainability,"Research Interests
In our group, we combine fundamental discoveries in material assembly, morphology and chemistry with electrochemistry and in-operando spectroscopy to develop efficient energy storage devices, particularly next generation batteries such as Li/Na/K-S, solid-state batteries, and anode-less battery designs. Our specific areas of interest include:
Design of novel electrode materials and electrolyte additives to enhance the physical and chemical phenomena relevant for batteries.
In-",system_result,2,,
43,developing better batteries for electric vehicles,application,Alfred Center,Chemical and Biomolecular Engineering,Professor of PracticeEmeritus,"Research Interests
Sustainable Energy Systems",system_result,3,,
44,developing better batteries for electric vehicles,application,Shiqi Li,Chemical and Biomolecular Engineering,PhD Student,PhD student in Chemical and Biomolecular Engineering. Member of Yang Group. Advised by Rong Yang. Publications: Fluorine-Free Amphiphilic Copolymers for Broad-Spectrum Marine Biofouling Deterrence; Polymer Microarray with Tailored Morphologies through Condensed Droplet Polymerization for High-Resolution Optical Imaging Applications; Pathophysiology-Informed Design of Negatively Charged Liposomes for Enhanced Antibiotic Delivery across the Intact Tympanic Membrane in Acute Otitis Media Treatment;,random,,,
45,creating biocompatible implants,application,Lawrence Bonassar,Materials Science and Engineering,"Daljit S. and Elaine Sarkaria Professor in Biomedical EngineeringProfessor, Mechanical and Aerospace Engineering","Research Interests
Biomechanics and Mechanobiology
Biomedical Engineering
Polymers and Soft Matter
Rapid Prototyping
Mechanics of Biological Materials
Bioengineering
Molecular and Cellular Engineering
Tissue Engineering and Biomaterials
Molecular Biotechnology
Materials Design
Bioengineering and Healthcare
Advanced Manufacturing and Materials
Service Interests
Board of Directors, International Society for Biofabrication
Board of Director, Orthopaedic Research Society Conference
Chairman, Bioprin",system_result,1,,
46,creating biocompatible implants,application,Yadong Wang,Chemical and Biomolecular Engineering,McAdam Family Foundation Professor of Heart Assist Technology,"Research Interests
Biomedical Engineering
Bioengineering
Advanced Materials
Drug Delivery and Nanomedicine
Tissue Engineering and Biomaterials",system_result,2,,
47,creating biocompatible implants,application,David A. Putnam,Chemical and Biomolecular Engineering,Samuel B. Eckert Professor in Engineering,"Research Interests
Drug Delivery and Nanomedicine
Polymers and Soft Matter
Mechanics of Biological Materials
Biomedical Engineering
Bioengineering
Tissue Engineering and Biomaterials
Biomolecular Engineering",system_result,3,,
48,creating biocompatible implants,application,Henrique Reis Moura,Chemical and Biomolecular Engineering,PhD Student,PhD student in Chemical and Biomolecular Engineering.,random,,,
49,improving solar cell efficiency,application,Debdeep Jena,Materials Science and Engineering,David E. Burr Professor of Engineering,"Research Interests
The Jena group explores the fundamental limits of computation, memory, and communications with semiconductor devices by exploiting and understanding new physics. In recent years, they are immersed in research on the following topics:
the performance limits of ultrahigh speed GaN and AlN transistors for all-electronic THz sources,
ultra wide bandgap semiconductor transistors for power electronics (see Energy.gov presentation),
photonic devices in the IR & visible, and deep-UV L",system_result,1,,
50,improving solar cell efficiency,application,Tobias Hanrath,Materials Science and Engineering,Croll Professor in Engineering,"Research Interests
There is a tremendous opportunity space for nanostructured materials to play a key role in next generation energy technologies. Our research efforts focus on the fundamental study of optoelectronic properties of semiconductor nanocrystals; this work is inspired by the potential application of these materials in solar energy conversion and energy storage devices. The semiconductor nanocrystals used in our work provide a diverse set of building blocks whose electronic and optica",system_result,2,,
51,improving solar cell efficiency,application,Hari Nair,Materials Science and Engineering,Assistant Professor,"Research Interests
Novel materials have the potential of precipitating revolutionary rather than evolutionary changes in wide ranging fields. My vision is to explore the properties of novel oxide materials in epitaxial thin film form for wide ranging applications from power electronics to optical metamaterials. Understanding and tuning the fundamental properties of these versatile oxides using a combination of epitaxial strain, dimensionality and heterostructures will be key to developing the ne",system_result,3,,
52,improving solar cell efficiency,application,Joe Rogan,Chemical and Biomolecular Engineering,Director of Development,"View all 			Staff 		
Joe Rogan
Director of Development
LocationCarpenter Hall, Room 258
Phone607-254-6702
Emailjfr229@cornell.edu",random,,,
53,designing drug delivery nanoparticles,application,Mohammed Suliman M. Alshammasi,Chemical and Biomolecular Engineering,PhD Student,PhD student in Chemical and Biomolecular Engineering. Member of Escobedo Lab. Advised by Fernando Escobedo.,system_result,1,,
54,designing drug delivery nanoparticles,application,Dharani Prasad Vadlamudi,Chemical and Biomolecular Engineering,PhD Student,PhD student in Chemical and Biomolecular Engineering. Member of Tester Group. Advised by Jefferson W. Tester.,system_result,2,,
55,designing drug delivery nanoparticles,application,Aditi Seshadri,Chemical and Biomolecular Engineering,PhD Student,PhD student in Chemical and Biomolecular Engineering. Member of Escobedo Lab. Advised by Fernando Escobedo.,system_result,3,,
56,designing drug delivery nanoparticles,application,Michael Thompson,Materials Science and Engineering,Director of Undergraduate StudiesDwight C. Baum Professor of Engineering,"Research Interests
Professor Thompson’s group is focused on the use of transient thermal processing on time frames from nanosecond to sub-seconds as a method for characterization and modification of material properties, focusing particularly on semiconductor materials and applications. These timeframes are achieved primarily through the use of pulsed and CW laser sources to heat materials to temperatures far beyond conventional limits, and cool within comparable timeframes by thermal quench to s",random,,,
57,building soft robots,application,Robert F. Shepherd,Materials Science and Engineering,Director of Graduate Studies for Mechanical EngineeringJohn F. Carr Professor of Mechanical Engineering,"Research Interests
Dr. Shepherd is interested in developing disruptive manufacturing technologies (e.g., 3D printing, replica molding, microfluidics, etc.) and functional materials to enable new devices and user experiences. He is particularly interested in simultaneously increasing the speed, dimensionality, resolution, and materials capability of free-form fabrication techniques, and developing soft actuators that mimic biological functions, but not necessarily their mechanisms: These interest",system_result,1,,
58,building soft robots,application,Jingjie Yeo,Materials Science and Engineering,Assistant Professor,"Research Interests
Jingjie Yeo’s research focuses on interdisciplinary studies of material and biological phenomena by advancing multiscale, multi-physics computational methods and simulations. He aims to characterize and predict the mechanical, chemical, optical, and electrical structure-function relationships of polymers, bio-polymers, and bio-inspired materials of various morphologies. With additional techniques from machine learning and computational biology, he investigates phenomena relate",system_result,2,,
59,building soft robots,application,Eric Dufresne,Materials Science and Engineering,Professor,"Research Interests
The Laboratory of Soft and Living Materials ↗ focuses on biological and biologically-inspired materials.  Our research is focused on quantitative physical experiments but integrates elements of cell biology, biochemistry, and theory as needed.
Advanced Materials
Biomedical Engineering
Biomechanics and Mechanobiology
Colloids and Interfacial Science
Materials Synthesis and Processing
Mechanics of Biological Materials
Molecular and Cellular Engineering
Polymers and Soft Matter",system_result,3,,
60,building soft robots,application,Erik John Bidstrup,Chemical and Biomolecular Engineering,PhD Student,PhD student in Chemical and Biomolecular Engineering. Member of DeLisa Group. Advised by Matthew DeLisa.,random,,,
61,machine learning for materials discovery,interdisciplinary,James Weaver,Materials Science and Engineering,Associate Professor,"Research Interests
Weaver’s research primarily focuses on the following three areas:
Multi-scale image and materials characterization
Advanced manufacturing and 3D data visualization
Biologically inspired materials, architecture, and design",system_result,1,,
62,machine learning for materials discovery,interdisciplinary,Dzenana Javor,Materials Science and Engineering,Lead Finance,"View all 			Staff 		
Dzenana Javor
Lead Finance
LocationBard Hall, Room 210D
Phone607-255-9160
Emaildj237@cornell.edu",system_result,2,,
63,machine learning for materials discovery,interdisciplinary,Michele Conrad,Materials Science and Engineering,Undergraduate Student Services Coordinator,"View all 			Staff 		
Michele Conrad
Undergraduate Student Services Coordinator
Department of Materials Science and Engineering
LocationBard Hall, Room 210A
Phone607-255-9159
Emailmmc2@cornell.edu",system_result,3,,
64,machine learning for materials discovery,interdisciplinary,Alexandra Werth,Chemical and Biomolecular Engineering,Assistant Professor,"Research Interests
Dr. Werth’s research is dedicated to advancing evidence-based teaching practices and tools to enhance access to and efficacy of authentic learning environments. She focuses particularly on disciplinary-based research within engineering contexts, with a specific interest in biomedical engineering, although her work often transcends disciplinary boundaries. Her work delves into three interconnected components of the educational system:
Values: Through the BEEAR research group, D",random,,,
65,microfluidics for biological assays,interdisciplinary,Claudia Fischbach-Teschl,Chemical and Biomolecular Engineering,James M. and Marsha McCormick Family Director of the Meinig School of Biomedical EngineeringStanley Bryer 1946 Professor of Biomedical Engineering,"Research Interests
Biotechnology
Molecular and Cellular Engineering
Polymers and Soft Matter
Nanobio Applications
Nanotechnology
Mechanics of Biological Materials
Biomedical Engineering
Bioengineering
Microfluidics
Biomechanics and Mechanobiology
Tissue Engineering and Biomaterials
Microfluidics and Microsystems
Multiphase and Granular Flows",system_result,1,,
66,microfluidics for biological assays,interdisciplinary,Susan Daniel,Chemical and Biomolecular Engineering,William C. Hooey Director of the R.F. Smith School of Chemical and Biomolecular EngineeringLisa L. Walker 1986 Distinguished Professor of Chemical and Biomolecular Engineering,"Research Interests
Colloids and Interfacial Science
Molecular Biotechnology
Fluid Dynamics and Rheology
Polymers and Soft Matter
Nanobio Applications
Biomedical Engineering
Bioengineering
Biomedical Imaging and Instrumentation
Microfluidics
Molecular and Cellular Engineering
Drug Delivery and Nanomedicine
Tissue Engineering and Biomaterials
Biomolecular Engineering
COVID-19 Related Research",system_result,2,,
67,microfluidics for biological assays,interdisciplinary,Brian Kirby,Chemical and Biomolecular Engineering,Associate Director of Undergraduate AffairsMeinig Family Professor of Engineering,"Research Interests
Multiphase and Granular Flows
Biomedical Imaging and Instrumentation
Microfluidics
Biomedical Engineering
Bioengineering
Drug Delivery and Nanomedicine
Tissue Engineering and Biomaterials
Molecular and Cellular Engineering
Micro Nano Systems
Materials Design
Bioengineering and Healthcare
Advanced Manufacturing and Materials",system_result,3,,
68,microfluidics for biological assays,interdisciplinary,Lara A. Estroff,Materials Science and Engineering,Chair of the Department of Materials Science and EngineeringHerbert Fisk Johnson Professor of Industrial Chemistry,"Research Interests
The diversity of biomineralized structures, ranging from magnetic nanoparticles in bacteria to large, single-crystalline sea urchin spines to the hierarchical composite structure of bone, has inspired the study of structure-function relationships within naturally occurring materials, and the development of synthetic routes to organic-inorganic composites with complex morphologies and desirable materials properties. Central to the study of biomineralization, and still poorly un",random,,,
69,biomechanics of soft tissues,interdisciplinary,Lawrence Bonassar,Materials Science and Engineering,"Daljit S. and Elaine Sarkaria Professor in Biomedical EngineeringProfessor, Mechanical and Aerospace Engineering","Research Interests
Biomechanics and Mechanobiology
Biomedical Engineering
Polymers and Soft Matter
Rapid Prototyping
Mechanics of Biological Materials
Bioengineering
Molecular and Cellular Engineering
Tissue Engineering and Biomaterials
Molecular Biotechnology
Materials Design
Bioengineering and Healthcare
Advanced Manufacturing and Materials
Service Interests
Board of Directors, International Society for Biofabrication
Board of Director, Orthopaedic Research Society Conference
Chairman, Bioprin",system_result,1,,
70,biomechanics of soft tissues,interdisciplinary,Eric Dufresne,Materials Science and Engineering,Professor,"Research Interests
The Laboratory of Soft and Living Materials ↗ focuses on biological and biologically-inspired materials.  Our research is focused on quantitative physical experiments but integrates elements of cell biology, biochemistry, and theory as needed.
Advanced Materials
Biomedical Engineering
Biomechanics and Mechanobiology
Colloids and Interfacial Science
Materials Synthesis and Processing
Mechanics of Biological Materials
Molecular and Cellular Engineering
Polymers and Soft Matter",system_result,2,,
71,biomechanics of soft tissues,interdisciplinary,David A. Putnam,Chemical and Biomolecular Engineering,Samuel B. Eckert Professor in Engineering,"Research Interests
Drug Delivery and Nanomedicine
Polymers and Soft Matter
Mechanics of Biological Materials
Biomedical Engineering
Bioengineering
Tissue Engineering and Biomaterials
Biomolecular Engineering",system_result,3,,
72,biomechanics of soft tissues,interdisciplinary,Lara A. Estroff,Materials Science and Engineering,Chair of the Department of Materials Science and EngineeringHerbert Fisk Johnson Professor of Industrial Chemistry,"Research Interests
The diversity of biomineralized structures, ranging from magnetic nanoparticles in bacteria to large, single-crystalline sea urchin spines to the hierarchical composite structure of bone, has inspired the study of structure-function relationships within naturally occurring materials, and the development of synthetic routes to organic-inorganic composites with complex morphologies and desirable materials properties. Central to the study of biomineralization, and still poorly un",random,,,
73,electrochemistry for CO2 reduction,interdisciplinary,Vibha Kalra,Chemical and Biomolecular Engineering,Fred H. Rhodes Professor of Chemical EngineeringKathy Dwyer Marble and Curt Marble Faculty Director at the Cornell Atkinson Center for Sustainability,"Research Interests
In our group, we combine fundamental discoveries in material assembly, morphology and chemistry with electrochemistry and in-operando spectroscopy to develop efficient energy storage devices, particularly next generation batteries such as Li/Na/K-S, solid-state batteries, and anode-less battery designs. Our specific areas of interest include:
Design of novel electrode materials and electrolyte additives to enhance the physical and chemical phenomena relevant for batteries.
In-",system_result,1,,
